id,delay_ms,clutch_temp_c,torque_var_pct,rpm_diff,severity,action
1,72,86,2.1,45,Normal,NO_ACTION
2,88,92,3.8,62,Normal,NO_ACTION
3,95,98,4.9,79,Normal,NO_ACTION
4,66,90,1.7,34,Normal,NO_ACTION
5,101,94,5.0,80,Normal,NO_ACTION
6,78,85,2.9,58,Normal,NO_ACTION
7,92,99,4.2,83,Normal,NO_ACTION
8,84,93,3.1,55,Normal,NO_ACTION
9,105,100,4.8,88,Normal,NO_ACTION
10,97,89,2.6,71,Normal,NO_ACTION
11,118,96,4.5,72,Moderate,SHIFT_TIMING_ADJUST
12,132,101,3.9,66,Moderate,SHIFT_TIMING_ADJUST
13,145,103,5.4,82,Moderate,SHIFT_TIMING_ADJUST
14,112,97,5.2,76,Moderate,SHIFT_TIMING_ADJUST
15,155,104,4.7,85,Moderate,SHIFT_TIMING_ADJUST
16,98,109,3.2,70,Moderate,TORQUE_REDISTRIBUTION
17,102,111,4.1,78,Moderate,TORQUE_REDISTRIBUTION
18,95,118,2.7,65,Moderate,TORQUE_REDISTRIBUTION
19,106,120,5.0,86,Moderate,TORQUE_REDISTRIBUTION
20,88,107,4.6,80,Moderate,TORQUE_REDISTRIBUTION
21,96,99,6.3,72,Moderate,TORQUE_REDISTRIBUTION
22,104,101,7.8,88,Moderate,TORQUE_REDISTRIBUTION
23,108,95,9.4,83,Moderate,TORQUE_REDISTRIBUTION
24,92,98,6.1,76,Moderate,TORQUE_REDISTRIBUTION
25,100,103,10.2,89,Moderate,TORQUE_REDISTRIBUTION
26,90,97,4.8,95,Moderate,TORQUE_REDISTRIBUTION
27,102,100,5.1,120,Moderate,TORQUE_REDISTRIBUTION
28,99,94,3.6,135,Moderate,TORQUE_REDISTRIBUTION
29,88,96,4.2,160,Moderate,TORQUE_REDISTRIBUTION
30,105,102,5.3,100,Moderate,TORQUE_REDISTRIBUTION
31,165,104,5.9,85,Severe,SHIFT_TIMING_ADJUST
32,172,99,4.1,70,Severe,SHIFT_TIMING_ADJUST
33,160,101,3.8,92,Severe,SHIFT_TIMING_ADJUST
34,188,110,6.0,120,Severe,TORQUE_REDISTRIBUTION
35,175,119,7.2,150,Severe,TORQUE_REDISTRIBUTION
36,108,127,4.3,84,Severe,CLUTCH_PRESSURE_RECALIB
37,120,132,5.2,96,Severe,CLUTCH_PRESSURE_RECALIB
38,98,125,3.1,70,Severe,CLUTCH_PRESSURE_RECALIB
39,142,138,6.4,110,Severe,CLUTCH_PRESSURE_RECALIB
40,156,130,9.0,140,Severe,CLUTCH_PRESSURE_RECALIB
41,105,100,4.9,175,Severe,RPM_SYNC
42,98,96,5.1,190,Severe,RPM_SYNC
43,110,104,6.2,210,Severe,RPM_SYNC
44,140,118,7.0,170,Severe,RPM_SYNC
45,92,102,4.0,185,Severe,RPM_SYNC
46,120,112,11.5,95,Severe,TORQUE_REDISTRIBUTION
47,108,106,12.2,140,Severe,TORQUE_REDISTRIBUTION
48,135,110,14.1,160,Severe,TORQUE_REDISTRIBUTION
49,150,121,11.0,110,Severe,TORQUE_REDISTRIBUTION
50,115,108,13.4,175,Severe,RPM_SYNC
51,76,88,2.4,60,Normal,NO_ACTION
52,124,107,5.0,82,Moderate,SHIFT_TIMING_ADJUST
53,138,114,6.8,92,Moderate,TORQUE_REDISTRIBUTION
54,90,123,5.5,86,Moderate,TORQUE_REDISTRIBUTION
55,162,122,8.4,130,Severe,TORQUE_REDISTRIBUTION
56,152,129,5.2,98,Severe,CLUTCH_PRESSURE_RECALIB
57,98,97,10.8,88,Moderate,TORQUE_REDISTRIBUTION
58,110,105,5.9,165,Moderate,SHIFT_TIMING_ADJUST
59,104,101,6.0,92,Moderate,TORQUE_REDISTRIBUTION
60,92,95,4.7,75,Normal,NO_ACTION
